date,kaf,
10/31/45,498.556671,
11/30/45,437.196763,
12/31/45,241.12291,
1/31/46,348.749012,
2/28/46,285.657244,
3/31/46,316.226664,
4/30/46,753.412109,
5/31/46,833.831116,
6/30/46,658.410706,
7/31/46,1143.219116,
8/31/46,888.926819,
9/30/46,246.653473,
10/31/46,203.800949,
11/30/46,274.503373,
12/31/46,472.073351,
1/31/47,338.654086,
2/28/47,481.30269,
3/31/47,547.848887,
4/30/47,637.368042,
5/31/47,568.313965,
6/30/47,1013.047791,
7/31/47,1035.48291,
8/31/47,949.466187,
9/30/47,326.551788,
10/31/47,300.984985,
11/30/47,295.602585,
12/31/47,223.7894606,
1/31/48,758.9217564,
2/29/48,195.574617,
3/31/48,554.233652,
4/30/48,1956.484497,
5/31/48,1297.716064,
6/30/48,1072.154907,
7/31/48,1099.87561,
8/31/48,906.166016,
9/30/48,243.0383,
10/31/48,459.676147,
11/30/48,37.200287,
12/31/48,484.759539,
1/31/49,521.132815,
2/28/49,345.489061,
3/31/49,523.873972,
4/30/49,421.552673,
5/31/49,1077.58374,
6/30/49,1047.948608,
7/31/49,1027.472656,
8/31/49,933.208984,
9/30/49,331.188812,
10/31/49,465.367645,
11/30/49,207.72432,
12/31/49,247.451097,
1/31/50,998.132876,
2/28/50,417.335436,
3/31/50,539.906931,
4/30/50,1159.653931,
5/31/50,1228.473999,
6/30/50,1064.241455,
7/31/50,1115.159546,
8/31/50,963.244324,
9/30/50,238.188126,
10/31/50,501.942719,
11/30/50,231.86821,
12/31/50,281.724426,
1/31/51,256.335693,
2/28/51,178.336578,
3/31/51,352.993142,
4/30/51,252.121664,
5/31/51,874.76613,
6/30/51,965.314514,
7/31/51,1354.134277,
8/31/51,908.67688,
9/30/51,1009.587402,
10/31/51,688.276123,
11/30/51,488.557542,
12/31/51,317.528612,
1/31/52,185.664095,
2/29/52,223.242968,
3/31/52,208.767014,
4/30/52,91.738108,
5/31/52,278.510315,
6/30/52,133.877014,
7/31/52,837.289185,
8/31/52,860.694092,
9/30/52,1540.598633,
10/31/52,299.497803,
11/30/52,141.413071,
12/31/52,354.0094766,
1/31/53,307.231022,
2/28/53,326.30855,
3/31/53,489.864695,
4/30/53,983.456482,
5/31/53,1349.100952,
6/30/53,1127.491089,
7/31/53,1183.253784,
8/31/53,902.73584,
9/30/53,1535.734131,
10/31/53,319.989624,
11/30/53,140.559891,
12/31/53,372.869677,
1/31/54,512.476748,
2/28/54,499.301653,
3/31/54,537.13917,
4/30/54,483.112,
5/31/54,365.951782,
6/30/54,1058.867065,
7/31/54,1376.064941,
8/31/54,910.134094,
9/30/54,914.750244,
10/31/54,251.159042,
11/30/54,523.169358,
12/31/54,465.769457,
1/31/55,426.9912742,
2/28/55,162.7882964,
3/31/55,391.4427936,
4/30/55,697.424866,
5/31/55,900.265137,
6/30/55,1072.21936,
7/31/55,1046.121704,
8/31/55,977.326416,
9/30/55,509.424255,
10/31/55,550.087402,
11/30/55,393.162064,
12/31/55,264.492998,
1/31/56,301.495544,
2/29/56,105.358643,
3/31/56,193.917004,
4/30/56,296.921801,
5/31/56,430.336334,
6/30/56,382.920959,
7/31/56,914.996094,
8/31/56,817.118713,
9/30/56,1455.960449,
10/31/56,270.612488,
11/30/56,710.353516,
12/31/56,246.069125,
1/31/57,417.272799,
2/28/57,399.563005,
3/31/57,538.542124,
4/30/57,322.722504,
5/31/57,832.743042,
6/30/57,956.377991,
7/31/57,1341.547241,
8/31/57,903.640198,
9/30/57,1096.278931,
10/31/57,314.805023,
11/30/57,164.662583,
12/31/57,377.720385,
1/31/58,361.433779,
2/28/58,222.017412,
3/31/58,232.96611,
4/30/58,319.138611,
5/31/58,78.005478,
6/30/58,153.723328,
7/31/58,887.553538,
8/31/58,811.176392,
9/30/58,1362.019897,
10/31/58,293.21582,
11/30/58,0,
12/31/58,59.005236,59.005236
1/31/59,542.711978,
2/28/59,463.752001,
3/31/59,492.575144,
4/30/59,519.04071,
5/31/59,572.930786,
6/30/59,795.07196,
7/31/59,1313.890747,
8/31/59,915.39917,
9/30/59,308.611664,
10/31/59,507.866882,
11/30/59,33.683259,
12/31/59,11.681597,
1/31/60,698.22626,
2/29/60,492.639666,
3/31/60,556.217905,
4/30/60,690.402161,
5/31/60,775.485535,
6/30/60,1011.621765,
7/31/60,1135.005859,
8/31/60,973.416504,
9/30/60,351.79248,
10/31/60,315.970612,
11/30/60,169.217866,
12/31/60,545.061968,
1/31/61,488.6001,
2/28/61,508.11043,
3/31/61,561.934336,
4/30/61,619.601746,
5/31/61,623.803101,
6/30/61,1018.702026,
7/31/61,1115.385498,
8/31/61,1033.94751,
9/30/61,269.363281,
10/31/61,563.501343,
11/30/61,282.154191,
12/31/61,402.187334,
1/31/62,312.107546,
2/28/62,169.195558,
3/31/62,469.16041,
4/30/62,395.699585,
5/31/62,936.32959,
6/30/62,993.130249,
7/31/62,1253.148804,
8/31/62,958.775269,
9/30/62,384.695953,
10/31/62,608.29657,
11/30/62,403.831925,
12/31/62,430.152252,
1/31/63,352.586567,
2/28/63,316.215166,
3/31/63,522.076853,
4/30/63,329.883484,
5/31/63,471.747955,
6/30/63,1048.136963,
7/31/63,1337.329834,
8/31/63,892.6073,
9/30/63,1392.257812,
10/31/63,185.784515,
11/30/63,32.5710585,
12/31/63,369.8290095,
1/31/64,538.700625,
2/29/64,285.620714,
3/31/64,330.460734,
4/30/64,622.165283,
5/31/64,973.462646,
6/30/64,1122.880371,
7/31/64,1044.263916,
8/31/64,925.821167,
9/30/64,473.311218,
10/31/64,521.276978,
11/30/64,403.633805,
12/31/64,300.469788,
1/31/65,250.295563,
2/28/65,142.848759,
3/31/65,351.805707,
4/30/65,312.218628,
5/31/65,430.708527,
6/30/65,962.492615,
7/31/65,1221.484375,
8/31/65,804.357727,
9/30/65,1345.323486,
10/31/65,220.312515,
11/30/65,12.523507,
12/31/65,349.307953,
1/31/66,304.851124,
2/28/66,342.041399,
3/31/66,520.172739,
4/30/66,872.06488,
5/31/66,971.183838,
6/30/66,1074.239136,
7/31/66,1257.669556,
8/31/66,896.020203,
9/30/66,265.72467,
10/31/66,334.296051,
11/30/66,332.847611,
12/31/66,67.969795,
1/31/67,131.410527,
2/28/67,287.302568,
3/31/67,249.47139,
4/30/67,184.539215,
5/31/67,102.39489,
6/30/67,155.934708,
7/31/67,51.200001,
8/31/67,789.235483,
9/30/67,1266.86499,
10/31/67,284.065613,
11/30/67,40.347279,
12/31/67,343.8279749,
1/31/68,402.984103,
2/29/68,366.791613,
