date,kaf,kaf,kaf
5/31/34,475.3724545,475.3724545,0
6/30/34,1102.25463,1102.25463,0
7/31/34,482.9815,482.9815,0
8/31/34,598.7414251,598.7414251,0
9/30/34,472.5481675,472.5481675,0
10/31/34,490.1827354,490.1827354,0
11/30/34,377.6334524,411.4934524,-33.86
12/31/34,97.00815891,132.3381589,-35.32999999
1/31/35,430.3974757,466.8374757,-36.44
2/28/35,421.1457833,456.9757833,-35.83
3/31/35,442.0675621,482.8275621,-40.76
4/30/35,134.1313,134.1313,0
5/31/35,355.9909172,355.9909172,0
6/30/35,679.4345,679.4345,0
7/31/35,1029.554,1029.554,0
8/31/35,690.7771274,690.7771274,0
9/30/35,393.0264023,393.0264023,0
10/31/35,425.2512162,425.2512162,0
11/30/35,227.9376,261.7976,-33.86
12/31/35,149.9514746,185.2814746,-35.33
1/31/36,400.7928456,437.2328456,-36.44
2/29/36,3786.648913,3822.478913,-35.83
3/31/36,174.9895621,215.7495621,-40.76
4/30/36,269.3835881,269.3835881,0
5/31/36,62.03657699,62.03657699,0
6/30/36,434.0715178,434.0715178,0
7/31/36,687.9469904,687.9469904,0
8/31/36,667.9065,667.9065,0
9/30/36,384.2925711,384.2925711,0
10/31/36,393.3870419,393.3870419,0
11/30/36,197.0415599,230.9015599,-33.86
12/31/36,137.5828557,172.9128557,-35.33
1/31/37,428.0888456,464.5288456,-36.44
2/28/37,0,0,0
3/31/37,0,0,0
4/30/37,53.0433,88.8733,-35.83
5/31/37,143.6392,184.3992,-40.76
6/30/37,466.9721205,466.9721205,0
7/31/37,708.4275,708.4275,0
8/31/37,904.5660683,904.5660683,0
9/30/37,545.0838598,545.0838598,0
10/31/37,545.3913504,545.3913504,0
11/30/37,419.0853405,452.9453405,-33.86
12/31/37,0,0,0
1/31/38,199.9888456,271.7588456,-71.77
2/28/38,3418.045128,3453.875128,-35.83
3/31/38,0,0,0
4/30/38,0,0,0
5/31/38,0,0,0
6/30/38,0,0,0
7/31/38,557.9156882,598.6756882,-40.76
8/31/38,679.6776274,679.6776274,0
9/30/38,189.9964612,189.9964612,0
10/31/38,332.7123995,332.7123995,0
11/30/38,6.066575022,39.92657502,-33.86
12/31/38,376.6849734,412.0149734,-35.33
1/31/39,301.1141111,337.5541111,-36.44
2/28/39,145.2829284,181.1129284,-35.83
3/31/39,397.9511442,438.7111442,-40.76
4/30/39,445.9819133,445.9819133,0
5/31/39,660.2817864,660.2817864,0
6/30/39,736.3635,736.3635,0
7/31/39,802.6915,802.6915,0
8/31/39,780.9144317,780.9144317,0
9/30/39,531.4373288,531.4373288,0
10/31/39,504.1661266,504.1661266,0
11/30/39,106.8655599,140.7255599,-33.86
12/31/39,212.8949734,248.2249734,-35.33
1/31/40,334.9438456,371.3838456,-36.44
2/29/40,183.087093,218.917093,-35.83
3/31/40,0,1.010553557,-1.010553557
4/30/40,181.5848536,221.3343,-39.7494464
5/31/40,291.1980568,291.1980568,0
6/30/40,368.9231601,368.9231601,0
7/31/40,1321.066,1321.066,0
8/31/40,688.7361274,688.7361274,0
9/30/40,481.3135183,481.3135183,0
10/31/40,507.0312825,507.0312825,0
11/30/40,445.1724729,479.0324729,-33.86
12/31/40,0,0,0
1/31/41,239.8798456,311.6498456,-71.77
2/28/41,0,0,0
3/31/41,0,0,0
4/30/41,28.3613,64.1913,-35.83
5/31/41,2045.169632,2085.929632,-40.76
6/30/41,397.0788148,397.0788148,0
7/31/41,329.5239904,329.5239904,0
8/31/41,549.4531638,549.4531638,0
9/30/41,392.3978999,392.3978999,0
10/31/41,729.0759337,729.0759337,0
11/30/41,673.9856091,707.8456091,-33.86
12/31/41,108.3999655,143.7299655,-35.33
1/31/42,5.552079661,41.99207966,-36.44
2/28/42,0,0,0
3/31/42,126.968055,203.558055,-76.59
4/30/42,179.1725881,179.1725881,0
5/31/42,1763.602597,1763.602597,0
6/30/42,363.1319111,363.1319111,0
7/31/42,648.911,648.911,0
8/31/42,832.0299012,832.0299012,0
9/30/42,437.2832125,437.2832125,0
10/31/42,505.6268894,505.6268894,0
11/30/42,53.64829753,87.50829753,-33.86
12/31/42,155.7236905,191.0536905,-35.33
1/31/43,0,0,0
2/28/43,2736.83627,2809.10627,-72.27
3/31/43,0,0,0
4/30/43,91.6923,132.4523,-40.76
5/31/43,268.3629115,268.3629115,0
6/30/43,763.5748761,763.5748761,0
7/31/43,1317.573,1317.573,0
8/31/43,514.2195,514.2195,0
9/30/43,177.8433393,177.8433393,0
10/31/43,369.02734,369.02734,0
11/30/43,30.41550594,64.27550594,-33.86
12/31/43,217.6055423,252.9355423,-35.33
1/31/44,710.0334111,746.4734111,-36.44
2/29/44,366.0067833,401.8367833,-35.83
3/31/44,441.6503713,482.4103713,-40.76
4/30/44,55.12886,55.12886,0
5/31/44,401.0739126,401.0739126,0
6/30/44,679.185647,679.185647,0
7/31/44,735.9259904,735.9259904,0
8/31/44,698.5411274,698.5411274,0
9/30/44,447.7053288,447.7053288,0
10/31/44,414.8983126,414.8983126,0
11/30/44,393.9043844,427.7643844,-33.86
12/31/44,38.31770763,73.64770763,-35.33
1/31/45,481.2988456,517.7388456,-36.44
2/28/45,0,0,0
3/31/45,-2.936437883,73.65356212,-76.59
4/30/45,222.2574478,222.2574478,0
5/31/45,368.8092,368.8092,0
6/30/45,653.5635,653.5635,0
7/31/45,1064.833,1064.833,0
8/31/45,627.3641274,627.3641274,0
9/30/45,540.1178598,540.1178598,0
10/31/45,496.5681837,496.5681837,0
11/30/45,401.4760487,435.3360487,-33.86
12/31/45,0,0,0
1/31/46,228.3182536,300.0882536,-71.77
2/28/46,236.3924539,272.2224539,-35.83
3/31/46,225.5545621,266.3145621,-40.76
4/30/46,262.3699875,262.3699875,0
5/31/46,294.7408715,294.7408715,0
6/30/46,879.093969,879.093969,0
7/31/46,1143.219,1143.219,0
8/31/46,684.2201274,684.2201274,0
9/30/46,454.9776,454.9776,0
10/31/46,396.8843502,396.8843502,0
11/30/46,251.3330579,285.1930579,-33.86
12/31/46,547.7009734,583.0309734,-35.33
1/31/47,338.7578456,375.1978456,-36.44
2/28/47,414.1568814,449.9868814,-35.83
3/31/47,515.9235621,556.6835621,-40.76
4/30/47,433.724476,433.724476,0
5/31/47,587.2123154,587.2123154,0
6/30/47,736.5435,736.5435,0
7/31/47,1034.364,1034.364,0
8/31/47,779.2564317,779.2564317,0
9/30/47,489.0526,489.0526,0
10/31/47,500.0427177,500.0427177,0
11/30/47,286.4720918,320.3320918,-33.86
12/31/47,211.2819734,246.6119734,-35.33
1/31/48,533.9458456,570.3858456,-36.44
2/29/48,379.0055843,414.8355843,-35.83
3/31/48,843.0754154,883.8354154,-40.76
4/30/48,414.0353,414.0353,0
5/31/48,534.5521926,534.5521926,0
6/30/48,1072.15363,1072.15363,0
7/31/48,717.7249428,717.7249428,0
8/31/48,759.0055,759.0055,0
9/30/48,451.3383288,451.3383288,0
10/31/48,479.0498697,479.0498697,0
11/30/48,245.5245599,279.3845599,-33.86
12/31/48,368.0236905,403.3536905,-35.33
1/31/49,351.6884612,388.1284612,-36.44
2/28/49,723.7229198,759.5529198,-35.83
3/31/49,431.2035621,471.9635621,-40.76
4/30/49,450.0548994,450.0548994,0
5/31/49,1114.057625,1114.057625,0
6/30/49,927.1635211,927.1635211,0
7/31/49,1005.652,1005.652,0
8/31/49,933.209,933.209,0
9/30/49,539.5126,539.5126,0
10/31/49,440.8028051,440.8028051,0
11/30/49,203.9695203,237.8295203,-33.86
12/31/49,165.8519717,201.1819717,-35.33
1/31/50,441.0708456,477.5108456,-36.44
2/28/50,346.5697833,382.3997833,-35.83
3/31/50,465.2465621,506.0065621,-40.76
4/30/50,408.1123,408.1123,0
5/31/50,233.8028437,233.8028437,0
6/30/50,681.5404804,681.5404804,0
7/31/50,762.0185,762.0185,0
8/31/50,963.2440683,963.2440683,0
9/30/50,475.7377458,475.7377458,0
10/31/50,548.7931576,548.7931576,0
11/30/50,106.9590893,140.8190893,-33.86
12/31/50,0,0,0
1/31/51,0,0,0
2/28/51,0,0,0
3/31/51,172.444345,248.534345,-76.09
4/30/51,271.1467624,307.5867624,-36.44
5/31/51,332.2054045,368.0354045,-35.83
6/30/51,358.3788704,358.3788704,0
7/31/51,792.1145,792.1145,0
8/31/51,634.2047992,634.2047992,0
9/30/51,587.1268598,587.1268598,0
10/31/51,688.1107979,688.1107979,0
11/30/51,457.4141016,491.2741016,-33.86
12/31/51,2402.818069,2438.148069,-35.33
1/31/52,3934.308852,3970.748852,-36.44
2/29/52,156.4588902,192.2888902,-35.83
3/31/52,0,0,0
4/30/52,3245.841123,3286.601123,-40.76
5/31/52,0,0,0
6/30/52,1929.825842,1929.825842,0
7/31/52,354.8054621,354.8054621,0
8/31/52,511.8709382,511.8709382,0
9/30/52,1466.508453,1466.508453,0
10/31/52,791.5565296,791.5565296,0
11/30/52,119.9349956,153.7949956,-33.86
12/31/52,208.6153174,243.9453174,-35.33
1/31/53,3337.871396,3374.311396,-36.44
2/28/53,364.1237588,399.9537588,-35.83
3/31/53,467.6894793,508.4494793,-40.76
4/30/53,304.9945881,304.9945881,0
5/31/53,417.1149172,417.1149172,0
6/30/53,1124.768534,1124.768534,0
7/31/53,1165.52859,1165.52859,0
8/31/53,902.7366274,902.7366274,0
9/30/53,1560.82179,1560.82179,0
10/31/53,531.3520217,531.3520217,0
11/30/53,122.0751919,155.9351919,-33.86
12/31/53,229.6317093,264.9617093,-35.33
1/31/54,503.1378456,539.5778456,-36.44
2/28/54,414.168093,449.998093,-35.83
3/31/54,2789.059867,2829.819867,-40.76
4/30/54,448.5343,448.5343,0
5/31/54,920.7466249,920.7466249,0
6/30/54,376.7820667,376.7820667,0
7/31/54,1376.065,1376.065,0
8/31/54,663.9756488,663.9756488,0
9/30/54,407.5861499,407.5861499,0
10/31/54,443.483518,443.483518,0
11/30/54,165.5485232,199.4085232,-33.86
12/31/54,333.701413,369.031413,-35.33
1/31/55,974.1474111,1010.587411,-36.4399999
2/28/55,182.9915586,218.8215586,-35.83
3/31/55,402.7478586,443.5078586,-40.76
4/30/55,768.3208386,768.3208386,0
5/31/55,893.2524864,893.2524864,0
6/30/55,1072.21863,1072.21863,0
7/31/55,785.2119904,785.2119904,0
8/31/55,799.0465683,799.0465683,0
9/30/55,498.4308598,498.4308598,0
