date,kaf
2/28/55,0
3/31/55,0
4/30/55,262.79191
5/31/55,249.14001
6/30/55,337.4411296
7/31/55,0
8/31/55,0
9/30/55,0
10/31/55,0
11/30/55,0
12/31/55,4569.385581
1/31/56,899.9593812
2/29/56,138.4685194
3/31/56,0
4/30/56,0
5/31/56,0
6/30/56,714.8630577
7/31/56,0
8/31/56,88.47012744
9/30/56,1057.14693
10/31/56,229.93225
11/30/56,141.1086373
12/31/56,50.83426952
1/31/57,0
2/28/57,0
3/31/57,1721.53897
4/30/57,0
5/31/57,0
6/30/57,0
7/31/57,0
8/31/57,0
9/30/57,0
10/31/57,0
11/30/57,121.04158
12/31/57,1689.737002
1/31/58,0
2/28/58,0
3/31/58,130.3582136
4/30/58,669.9087
5/31/58,24.59733889
6/30/58,0
7/31/58,0
8/31/58,0
9/30/58,0
10/31/58,315.39925
11/30/58,0
12/31/58,0
1/31/59,0
2/28/59,0
3/31/59,0
4/30/59,89.68791
5/31/59,0
6/30/59,273.8461296
7/31/59,0
8/31/59,0
9/30/59,0
10/31/59,0
11/30/59,0
12/31/59,0
1/31/60,0
2/29/60,0
3/31/60,0
4/30/60,409.35891
5/31/60,326.65601
6/30/60,0
7/31/60,0
8/31/60,170.1795683
9/30/60,0
10/31/60,0
11/30/60,0
12/31/60,0
1/31/61,176.6643
2/28/61,0
3/31/61,0
4/30/61,0
5/31/61,0
6/30/61,0
7/31/61,105.1645
8/31/61,0
9/30/61,0
10/31/61,0
11/30/61,0
12/31/61,0
1/31/62,0
2/28/62,2346.274841
3/31/62,1022.753847
4/30/62,0
5/31/62,0
6/30/62,0
7/31/62,0
8/31/62,0
9/30/62,0
10/31/62,0
11/30/62,0
12/31/62,0
1/31/63,0
2/28/63,0
3/31/63,0
4/30/63,2963.499693
5/31/63,0
6/30/63,-178.08
7/31/63,389.3245
8/31/63,183.7601274
9/30/63,1005.01093
10/31/63,229.93225
11/30/63,0
12/31/63,26.13518391
1/31/64,0
2/29/64,0
3/31/64,0
4/30/64,0
5/31/64,0
6/30/64,0
7/31/64,107.9691936
8/31/64,0
9/30/64,0
10/31/64,0
11/30/64,0
12/31/64,313.9295097
1/31/65,112.8601544
2/28/65,0
3/31/65,0
4/30/65,0
5/31/65,0
6/30/65,0
7/31/65,0
8/31/65,0
9/30/65,0
10/31/65,0
11/30/65,643.35458
12/31/65,0
1/31/66,0
2/28/66,790.5047571
3/31/66,0
4/30/66,185.35691
5/31/66,453.76201
6/30/66,334.1951296
7/31/66,0
8/31/66,159.3011274
9/30/66,0
10/31/66,0
11/30/66,0
12/31/66,38.10271569
1/31/67,0
